Information Type, Confidentiality, Integrity, Availability,
Blueprints, m, h, h,
building footprints, l, h, h,
critical infrastructure(CI) around location geomapping, h, h, h,
critical logistics stations, m, h, h,
department of transportation (DoT) logistic info, l, h, h,
elevation model, l, h, h,
environmental conditions, l, m, h,
event location, l, h, h,
flight traffic/FAA information, l, l, l,
fuel sources, l, h, h,
ground cover, l, h, h,
hazardous materials, m, h, h,
hospital bed counts, l, m, m,
hospital capacity, m, h, h,
Hydrants, l, m, h,
impact map/plume model, l, h, h,
maps, l, h, h,
medical facility bed count, l, h, h,
satellite imagery, l, h, h,
shelter, l, h, h,
standing water, l, h, h,
traffic-surface, l, m, l,
utility information, h, h, h,
utility logistic info, m, h, h,
video from security cameras, h, h, h,
video around location, h, m, m,
weather, l, m, h,
